,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
1,3868621,Ventanas,CL,-71.48,-32.74,2018-04-03 17:00:00,66.13,68,0,8.05
7,2332459,Lagos,NG,3.39,6.46,2018-04-03 17:00:00,85.07,73,0,10.87
8,1270032,Hiriyur,IN,76.62,13.94,2018-04-03 17:00:00,67.34,91,0,5.39
13,376332,Doka,SD,35.76,13.52,2018-04-03 17:00:00,80.84,28,0,7.52
14,1259638,Pindwara,IN,73.05,24.79,2018-04-03 17:00:00,67.61,49,0,3.6
17,1526168,Arys,KZ,68.8,42.43,2018-04-03 17:00:00,57.2,50,0,15.66
19,3687505,La Palma,CO,-74.39,5.36,2018-04-03 17:00:00,72.02,91,76,2.59
21,2644122,Llandrindod Wells,GB,-3.38,52.24,2018-04-03 17:00:00,44.84,96,80,13.22
25,3838874,Rio Cuarto,AR,-64.35,-33.13,2018-04-03 17:00:00,80.93,50,0,4.83
27,3665315,Anori,BR,-61.66,-3.74,2018-04-03 17:00:00,85.79,75,56,3.71
52,2374688,Bolama,GW,-15.48,11.58,2018-04-03 17:00:00,89.6,46,0,11.41
70,3427761,Tigre,AR,-58.58,-34.42,2018-04-03 17:00:00,74.07,60,20,8.05
74,89113,Ajdabiya,LY,20.22,30.75,2018-04-03 17:00:00,68.15,33,0,7.18
78,69559,Yarim,YE,44.38,14.3,2018-04-03 17:00:00,59.6,31,44,3.15
80,1120985,Zaranj,AF,61.86,30.95,2018-04-03 17:00:00,75.2,27,0,9.17
98,2209055,Waddan,LY,16.14,29.16,2018-04-03 17:00:00,72.47,20,24,7.96
108,3834601,Tartagal,AR,-63.8,-22.52,2018-04-03 17:00:00,77,73,75,5.17
109,3681990,Bella Union,CO,-73.35,8.5,2018-04-03 17:00:00,69.95,92,92,1.92
132,3141548,Rognan,NO,15.4,67.1,2018-04-03 17:00:00,30.2,54,0,6.93
134,2236967,Soyo,AO,12.37,-6.13,2018-04-03 17:00:00,79.31,90,76,2.82
147,1539210,Purpe,RU,76.69,64.48,2018-04-03 17:00:00,-7.19,62,32,2.93
